year,period,       value_FarmProducts,       value_ProcessedFoods,       value
2016,M13,188.5204724409449,169.0580952380953,185.4
2017,M01,184.10397727272718,173.80379403794038,190.7
2017,M02,188.1871508379887,174.38975741239895,191.6
2017,M03,191.71491712707171,175.32021563342332,191.5
2017,M04,199.4402173913044,175.50725806451612,193.0
2017,M05,202.0578378378378,170.19595687331534,192.8
2017,M06,201.30687830687822,170.0107816711591,193.6
2017,M07,197.662962962963,172.62400000000005,193.5
2017,M08,189.15026737967932,172.98111702127653,193.8
2017,M09,191.17748691099482,170.97005347593583,194.8
2017,M10,189.18823529411756,171.57313829787228,194.9
2017,M11,200.03297872340417,171.42659574468092,195.9
2017,M12,199.70591397849464,172.51306666666665,196.3
2017,M13,190.63383458646604,168.23957703927493,193.5
2018,M01,197.3578651685394,170.833692722372,197.9
2018,M02,193.0083333333332,171.21612903225792,199.3
2018,M03,201.69944444444445,174.32741935483892,199.3
2018,M04,195.10000000000002,174.48252688172045,200.3
2018,M05,200.22365591397838,172.20080428954432,203.2
2018,M06,189.62864583333342,172.50107816711585,204.2
2018,M07,187.1193717277487,172.35093833780144,204.3
2018,M08,184.89526315789473,170.58978494623645,203.4
2018,M09,184.81798941798937,171.76720430107542,203.6
2018,M10,189.89473684210506,172.1185483870966,204.6
2018,M11,200.9918478260869,172.21045576407502,202.3
2018,M12,210.1518918918918,171.29650537634407,201.0
2018,M13,198.66690647482005,168.55941176470603,202.0
2019,M01,201.55944444444467,174.90948509485094,199.1
2019,M02,195.2961325966851,172.06413043478264,199.2
2019,M03,197.1588888888891,173.5411924119241,200.8
2019,M04,194.30939226519348,174.00325203252038,202.1
2019,M05,197.74162162162173,172.6544715447153,201.7
2019,M06,194.17842105263168,174.9601078167115,200.3
2019,M07,186.78010471204192,174.36711590296505,200.7
2019,M08,184.54130434782604,175.43153638814022,199.2
2019,M09,182.49065934065925,175.8002702702703,198.4
2019,M10,190.41559139784937,175.76532258064526,198.6
2019,M11,202.11648936170226,176.49142091152808,199.0
2019,M12,202.95271739130422,178.56720430107518,199.0
2019,M13,199.62518518518505,170.50381231671562,199.8
2020,M01,208.79779005524864,178.03089430894303,199.3
2020,M02,194.8618784530388,176.41950549450542,196.7
2020,M03,195.26243093922656,176.012568306011,193.1
2020,M04,191.34540540540533,175.48980716253453,185.5
2020,M05,194.92446808510653,178.32191780821918,188.6
2020,M06,195.7082901554404,176.56937669376688,191.2
2020,M07,187.17089947089957,176.48749999999995,193.0
2020,M08,185.51236559139784,176.8227642276422,194.3
2020,M09,191.36020942408373,176.4184782608696,195.5
2020,M10,211.5673684210527,179.07073170731724,196.5
2020,M11,200.6037837837838,180.03913043478272,198.3
2020,M12,202.68810810810817,182.26459459459457,200.5
2020,M13,197.5654411764706,175.92658610271891,194.4
2021,M01,213.0627777777778,182.49864130434776,204.8
2021,M02,209.19567567567566,182.21788617886173,210.6
2021,M03,211.95956284153002,184.8894594594596,215.0
2021,M04,214.70972972972967,188.33739837398377,217.9
2021,M05,219.39574468085087,190.20244565217388,224.9
2021,M06,219.42938144329887,193.43902439024387,228.9
2021,M07,215.75461458333345,195.06330978260868,231.85
2021,M08,225.65717021276598,198.90211956521745,233.415
2021,M09,232.74187628865963,199.829250681199,235.678
2021,M10,237.52285128205116,202.20229155313353,240.465
2021,M11,249.5173437500001,204.86355585831075,243.287
2021,M12,253.1098333333332,206.98695342465768,241.338
2021,M13,233.65585507246374,189.57043323442144,227.351
2022,M01,260.22901092896177,205.4193406593407,246.453
2022,M02,261.9489675675673,207.7550939226519,252.66
2022,M03,278.4648270270271,213.60137190082628,260.014
2022,M04,291.86305376344075,217.49201652892575,265.31
2022,M05,292.52612105263137,218.74356473829215,273.251
2022,M06,277.91584736842117,219.30367403314906,280.251
2022,M07,273.8133821989529,219.5038066298342,272.274
2022,M08,264.9814421052632,221.56015745856345,269.546
2022,M09,268.80977894736856,223.63043490304725,267.898
2022,M10,283.57513513513516,223.95455401662065,265.061
2022,M11,306.84878918918923,225.71340443213282,263.157
2022,M12,309.5247582417582,220.06051800554027,257.897
2022,M13,290.5219191176471,211.57487009063428,264.481
2023,M01,291.2853978494624,221.97021944444455,260.22700000000003
2023,M02,274.0646868131868,223.4992651933702,258.66900000000004
2023,M03,275.0183463687151,225.73636011080336,257.062
2023,M04,265.8410614525139,223.01735911602242,256.908
2023,M05,250.9004510869564,222.55278453038676,253.67
2023,M06,251.51216753926707,221.2220389972145,253.86
2023,M07,249.44628497409332,222.9205180055403,253.835
2023,M08,240.79495212765966,222.85515977961438,257.68
2023,M09,242.03864736842107,220.8336887052343,258.934
2023,M10,239.6207319587628,221.5183616438358,255.192
2023,M11,252.39545405405408,220.64397808219178,252.926
2023,M12,242.37286338797793,219.36124242424248,249.892
2023,M13,258.35431428571434,215.80790243902453,255.738
2024,M01,251.70584065934042,222.42075616438348,251.328
2024,M02,260.5790824175823,218.4887194444444,255.51
